Flag,Nombre,Direcciones,MAC,Tips,Mapas,Servicios caidos,Notas
activo,PTP AC S.Artecho,10.255.14.42,04:18:D6:CA:0A:07,PTP Ubiquiti 5AC,Higuerica,,
activo,Dslam Sino 16.1,10.226.30.9,TeamSimoco:20:16:38,Inyector DSLAM,Higuerica,,
activo,PTP a Riti2,10.226.13.11,24:A4:3C:0E:20:AC,,Higuerica,,
activo,Navarro 1,10.17.1.11,DC:9F:DB:29:0D:F6,Sw Ubiquiti 8,Navarro,,
activo,SW3 Villaralto,10.22.5.12,DC:9F:DB:29:BC:45,Sw Ubiquiti 8,Villaralto,,Juan Luis .. 609.662.370
activo,SW 2 Arteco,10.14.8.11,DC:9F:DB:29:5E:1F,Sw Ubiquiti 5,Arteco,,
activo,Switch 2 Calvario,10.4.9.13,DC:9F:DB:28:B0:1A,Sw Ubiquiti 8,Calvario..,,
activo,Vaguada - Poblado,10.255.59.2,04:18:D6:2E:01:CC,,Vaguada,,
activo,Base 2.2,10.2.22.10,24:A4:3C:46:D4:9C,Sectorial Ubiquiti,Sancty,,
activo,Fallo corriente La Tercia,10.18.10.8,B0:48:7A:E1:F4:D7,Fallo red,La Tercia,,
activo,Base 19.2,10.19.12.10,24:A4:3C:A6:73:39,Sectorial Ubiquiti,Beaza,,Orientada al Calvario
activo,Base 19.3,10.19.13.10,24:A4:3C:A6:72:7B,Sectorial Ubiquiti,Beaza,,"Orientada a Los Camachos, Orientada hacia Explanada Parque Mediterraneo"
activo,Agromed - Navarro,10.255.17.5,4C:5E:0C:7E:5B:C6,PTP Ubiquiti 30d,Agromed,,5590 Mhz
activo,Navarro - Agromediterranea,10.255.17.6,4C:5E:0C:FC:37:67,PTP Ubiquiti 30d,Navarro,,
activo,Switch Cuesta Blanca,10.9.10.11,04:18:D6:06:7E:59,Sw Ubiquiti 8,C. Blanca,,
activo,Hogar hotel diaz - C4,10.4.22.11,DC:9F:DB:78:D0:E4,,Calvario..,,
activo,C4 - Auditorio 11767,10.4.24.11,DC:9F:DB:76:3F:10,PTP Ubiquiti 30d,Calvario..,,
activo,Auditorio - C4,10.4.24.12,DC:9F:DB:EC:9C:DE,,Calvario..,,
activo,Fallo corriente Arcosur,178.156.77.18,,Fallo red,Arcosur,,
activo,SW4 Villaralto,10.22.5.13,DC:9F:DB:28:AC:34,Sw Ubiquiti 8,Villaralto,,
activo,Gregal,84.236.171.58,,,Navarro,,
activo,Switch Valero 2,10.8.2.12,DC:9F:DB:28:AC:1E,Sw Ubiquiti 8,Valero,,
activo,Switch Ubiquiti,10.120.20.11,DC:9F:DB:80:BE:C0,Sw Ubiquiti 5,Camachos,,
activo,C22 - Las Claras,10.22.31.11,24:A4:3C:A8:78:40,PTP Ubiquiti 30d,Villaralto,,
activo,Base 12.6,10.128.11.10,24:A4:3C:A6:74:01,Sectorial Ubiquiti,Camachos,,5510 Mhz
activo,Base 12.9,10.128.21.10,24:A4:3C:46:D5:F6,Omni Ubiquiti,Camachos,,
activo,Switch Camachos,10.255.128.98,DC:9F:DB:28:AD:E9,Sw Ubiquiti 8,Camachos,,
activo,PtP 8.8,178.156.67.4,"4C:5E:0C:57:6D:A2, 4C:5E:0C:5A:DC:4D, 4C:5E:0C:5D:F4:1D, 4C:5E:0C:7E:5B:C8, 4C:5E:0C:FC:37:69",airCam Ubiquiti,Valero,,Switch2 Puerto8
activo,Sw Calvario 2,10.4.9.12,24:A4:3C:05:3C:F1,Sw Ubiquiti 8,Calvario..,,
activo,Base 4.6,10.4.16.10,DC:9F:DB:0A:0C:36,Sectorial Ubiquiti,Calvario..,,120º
activo,SW 1 Arteco,10.14.9.11,DC:9F:DB:28:AC:CA,Sw Ubiquiti 8,Arteco,,Juan Luis Movil 629.034.094
activo,Arteco - Higuerica,10.255.14.44,04:18:D6:AE:AB:64,PTP Ubiquiti 5AC,Arteco,,
activo,Surinver,178.156.67.10,,,Arteco,,
activo,Base 14 - Surinver,10.14.27.11,24:A4:3C:8E:9D:6C,,Arteco,,
activo,Base 14 - Opera,10.14.26.11,DC:9F:DB:EC:05:59,,Arteco,,
activo,Switch Sabina,10.255.29.29,24:A4:3C:3D:6E:0B,Sw Ubiquiti 5,Sabina,,Presidente Javier 654271775
activo,Switch Jurosa,10.40.20.11,DC:9F:DB:28:A7:4C,Sw Ubiquiti 8,Jurosa,,
activo,Switch Perin97,10.255.5.36,DC:9F:DB:29:0D:69,Sw Ubiquiti 8,Perin,,"Patricio Leal Cerezo, Perin  618.420.093"
activo,Jurosa - Procomel,10.40.25.10,24:A4:3C:A8:77:6B,,Jurosa,,
activo,Base 40 1,10.40.21.10,24:A4:3C:A8:78:3D,Omni Ubiquiti,Jurosa,,
activo,Jurosa - C401,10.40.26.11,DC:9F:DB:8E:9B:D8,,Jurosa,,
activo,C401 - Inyector Jurosa,10.40.26.10,DC:9F:DB:48:C6:DC,,Jurosa,,
activo,Jurosa - Comyr,10.255.10.67,24:A4:3C:A8:77:0E,,Jurosa,,
activo,Riti2 - Riti 1,10.226.13.12,24:A4:3C:0E:21:53,,Higuerica,,
activo,Dslam SINO 8.2,10.226.13.9,VoxpathNet:16:08:F6,Inyector DSLAM,Higuerica,,
activo,Switch Pesetos 2,10.101.10.254,04:18:D6:07:49:89,Sw Ubiquiti 5,Pesetos,,
activo,Base 101 0,10.101.21.10,DC:9F:DB:0A:0C:9D,Omni Ubiquiti,Pesetos,,
activo,Los Chorlitos,185.44.27.57,,Windows Dators,J. Ingles,,
activo,Casa Madre,185.44.27.56,,Windows Dators,J. Ingles,,
activo,Molino Garre,185.44.27.54,,Windows Dators,J. Ingles,,
activo,Fuente Amarga,185.44.27.55,,Windows Dators,J. Ingles,,
activo,SW 2 Los urrutias 2,10.255.15.34,DC:9F:DB:80:B2:01,Sw Ubiquiti 8,Urrutias,,
activo,SW1 Urruti centro Cli EB,10.255.15.163,DC:9F:DB:80:BB:B5,Sw Ubiquiti 8,Urrutias,,
activo,Fallo corriente El Algar,10.255.32.108,94:0C:6D:AB:BA:1F,Fallo red,Algar,,
activo,Mellinas - Urrutias,10.15.37.13,24:A4:3C:B4:8A:C3,NanoBridge M5 este,Urrutias,,
activo,Urrutias - Mellinas,10.15.37.11,DC:9F:DB:8E:A0:E5,NanoBridge M5 oeste,Urrutias,,
activo,Arteco - Los Infiernos,10.255.14.38,04:18:D6:4E:90:ED,PTP Ubiquiti 5AC,Arteco,,
activo,Base 12 4,10.120.14.10,DC:9F:DB:04:0C:16,Omni Ubiquiti,Camachos,,
activo,Switch Alfonso2,10.11.38.12,DC:9F:DB:29:4C:A2,Sw Ubiquiti 8,Pozo E.,,
activo,Base 11 22,10.11.22.10,24:A4:3C:A8:77:14,Sectorial Ubiquiti,Pozo E.,,
activo,Base 3 8,10.33.30.10,24:A4:3C:46:D4:BC,Omni Ubiquiti,F. Alamo,,
activo,SW 1  FA Centro 2,10.33.30.5,DC:9F:DB:81:5E:C7,Sw Ubiquiti 5,F. Alamo,,"Jesus Maria Egea  609652336  Fuente Alamo Chalet, Belen 619071027  Casa Fuente Alamo, Tlf 968 598 468 Jesus Maria Hernandez"
activo,FA - Fa centro 2,10.33.30.3,DC:9F:DB:84:AC:E4,NanoBridge M5 oeste,F. Alamo,,
activo,Valero - Camachos2,10.255.8.99,04:18:D6:A4:56:55,PTP Ubiquiti 5AC,Valero,,Switch Valero 1 Puerto 3
activo,Camachos2 - Valero,10.255.8.98,04:18:D6:A4:56:A2,PTP Ubiquiti 5AC,Camachos,,
activo,Base 12.7,10.128.12.10,24:A4:3C:A6:74:73,Sectorial Ubiquiti,Camachos,,
activo,Base 12.8,10.128.13.10,24:A4:3C:A6:72:A9,Sectorial Ubiquiti,Camachos,,
activo,Base 19.21,10.192.15.10,24:A4:3C:A8:77:AB,Omni Ubiquiti,Beaza,,
activo,Mediterraneo - Calvario,10.255.4.13,04:18:D6:A4:4A:1C,PTP Ubiquiti 5AC,Beaza,,
activo,Switch Camachos2,10.255.128.34,24:A4:3C:B3:07:81,Sw Ubiquiti 5,Camachos,,
activo,13339 SW1  N.2,10.122.20.11,24:A4:3C:3D:A3:45,Sw Ubiquiti 5,Nautico,,"Portero Pedro 659.243.116       -     Portero Reserva Bartolo TF:  659.32.26.69, Presidente Luis 620689980"
activo,Nautico2 - Libre,10.122.20.2,24:A4:3C:3E:63:57,PTP Ubiquiti 30d,Nautico,,
activo,CN2 - CN1,10.255.121.6,44:D9:E7:5A:06:32,PTP Ubiquiti 5AC,Nautico,,
activo,CN1 - CN2,10.255.121.5,44:D9:E7:5A:04:3F,PTP Ubiquiti 5AC,Nautico,,
activo,La hortichuela Exportasol,10.13.21.11,00:27:22:10:F3:B0,,Hortich,,
activo,procomel - jurosa,10.40.25.12,24:A4:3C:9A:C9:2B,,Jurosa,,
activo,C11 expracar,10.11.13.11,00:27:22:D6:42:2D,,Pozo E.,,
activo,Expracar - Pozoestrecho,185.44.27.51,,,Pozo E.,,
activo,C8-Horizontalia,10.8.21.11,04:18:D6:26:27:9B,NanoBridge M5 este,Valero,,Switch3 Puerto1
activo,C1 - R Choice 3,10.1.99.15,DC:9F:DB:76:42:A6,PTP Ubiquiti 30d,Central ...,,
activo,Central - Libre,10.0.223.85,DC:9F:DB:8E:9C:04,PTP Ubiquiti 30d,Central ...,,
activo,C17 - 12872 Ivan,10.17.32.11,04:18:D6:90:CA:DE,PTP Ubiquiti 30d,Navarro,,
activo,Nautico - Costa M. 3,10.255.122.4,24:A4:3C:8C:FE:DC,PTP Ubiquiti 30d,Nautico,,
activo,C12 - Horm. Framag,10.128.24.11,24:A4:3C:8E:A0:65,NanoBridge M5 este,Camachos,,
desconocido,SW-PROCOMEL,10.40.15.13,24:A4:3C:B3:07:85,,Jurosa,,
activo,11378 SW 1 - Reina,10.255.141.106,24:A4:3C:3D:A2:1B,Sw Ubiquiti 8,Reina,,Juan Martinez Martinez Tf: 639.622.000
activo,Reina - Arcosur,10.255.7.4,02:27:22:DA:3D:99,airFiber,Reina,,
activo,Switch Carrasquilla,10.16.20.11,04:18:D6:07:26:E5,Sw Ubiquiti 8,Carrasq,,"En caso de que falle la electricidad intentar confirmar con Arcosur.   968563504 JOSE    968502941, Encargado de Campo: Ibrahim,   629.839.040"
activo,Base 15.9,10.29.37.10,24:A4:3C:9E:F0:24,Omni Ubiquiti,Sabina,,Antena Omnidireccional
activo,Base 23.4,10.122.12.10,24:A4:3C:F4:07:5D,Sectorial Ubiquiti,Nautico,,
activo,BuenaVista - Restauran,10.255.78.11,24:A4:3C:90:53:75,PTP Ubiquiti 30d,MangaClub,,Switch1 Puerto1
activo,Fallo corriente BuenaVista,10.255.78.13,D8:5D:4C:E4:D6:63,Fallo red,MangaClub,,Switch1 Puerto7
activo,SW 1  BuenaVista,10.255.78.14,24:A4:3C:3D:A3:A4,Sw Ubiquiti 8,MangaClub,,
activo,Base 7.15,10.78.32.10,24:A4:3C:46:D4:E1,Omni Ubiquiti,MangaClub,,Switch1 Puerto2
activo,Base 7.16,10.78.33.10,DC:9F:DB:68:AF:CF,Sectorial Ubiquiti,MangaClub,,Switch1 Puerto3
desconocido,PFLV Chalet Bellavista adsl,185.44.27.218,,Enrutador,Monitorizacion,,
activo,Base 5 2 B,10.5.22.10,24:A4:3C:9A:B6:83,Sectorial Ubiquiti,Circuito,,
activo,Base 5 3 B,10.5.23.10,24:A4:3C:9E:EE:BE,Sectorial Ubiquiti,Circuito,,
activo,Base 5 4 B,10.5.24.10,DC:9F:DB:34:EC:42,Sectorial Ubiquiti,Circuito,,
activo,Fallo corriente Jurosa,10.40.20.8,F8:1A:67:F3:4C:87,Fallo red,Jurosa,,
activo,Parroquia Santa Florentina tlf,10.240.63.250,,,Monitorizacion,,
activo,Pedru - Hawai 5,10.255.182.6,24:A4:3C:8E:A2:BA,PTP Ubiquiti 30d,Pedruch,,
activo,Circuito - CNO,10.255.5.2,04:18:D6:24:9C:39,PTP Ubiquiti 30d,Circuito,,
activo,CNO - Circuito,10.255.5.3,24:A4:3C:6E:9D:9B,PTP Ubiquiti 30d,Circuito,,
activo,Base 56 1 CNO,10.5.29.10,DC:9F:DB:68:B4:B1,Omni Ubiquiti,Circuito,,
activo,13385 - SW1 Torremares,10.161.20.11,24:A4:3C:3C:92:33,Sw Ubiquiti 8,TMares,,"Portero Juan Jose 619.432.057  (No ir de 10 a 11h)  libra miercoles y domingo 8:00-14:00  16:00-18:00, Inyector Ipa 24, Presidente  Fernando 676806333, Torremares, falta copia de llaves."
activo,Torremares - Reina,10.255.141.37,04:18:D6:AE:C9:B7,PTP Ubiquiti 5AC,TMares,,16/08/2014 SSID C23marC2311no
activo,Torremares - hawai4,10.255.161.3,04:18:D6:A4:4D:9B,PTP Ubiquiti 5AC,TMares,,
activo,Union y confianza,185.44.24.11,MicrosoftC:FE:15:00,Servidor Web,Centrales Virt.,,
activo,Ayto. Alcazares,185.44.24.12,MicrosoftC:06:73:16,Servidor DNS,Centrales Virt.,,
activo,La Puebla - La Hita,10.255.6.18,04:18:D6:A4:49:59,PTP Ubiquiti 5AC,Puebla,,
activo,La Hita - La Puebla,10.255.6.19,04:18:D6:A4:4A:34,PTP Ubiquiti 5AC,La Hita,,
activo,Switch La Puebla,10.179.10.253,24:A4:3C:3C:FA:A2,Sw Ubiquiti 8,Puebla,,"Presidente, 664.23.88.60 Cristofer, solo  habla ingles"
activo,Base 179,10.179.11.10,DC:9F:DB:0A:0A:CD,Omni Ubiquiti,Puebla,,
activo,La Puebla Centro - Bloque 1,10.255.178.10,04:18:D6:F8:C8:04,PTP Ubiquiti 5AC,Puebla,,
activo,Resort,10.255.21.4,24:A4:3C:3D:6E:E0,Sw Ubiquiti 8,Resort,,
activo,Resort - Infiernos,10.255.21.3,04:18:D6:CA:0E:AA,PTP Ubiquiti 5AC,Resort,,
activo,Infiernos - Resort,10.255.21.2,04:18:D6:AE:AB:65,PTP Ubiquiti 5AC,Infiernos,,
activo,Base 21.9,10.21.29.10,24:A4:3C:9A:C5:7B,Omni Ubiquiti,Resort,,
activo,Base 21.8,10.21.28.10,24:A4:3C:9A:B6:85,Sectorial Ubiquiti,Resort,,
activo,Fallo corriente,10.255.21.6,00:27:19:1C:42:F7,Fallo red,Resort,,
activo,C12 - AnaEscarabajal,10.128.23.11,24:A4:3C:B4:8C:C0,NanoBridge M5 norte,Camachos,,
activo,AnaEscarabajal,10.128.23.12,24:A4:3C:8E:18:F7,NanoBridge M5 sur,Camachos,,
activo,Base 23 1,10.141.11.10,24:A4:3C:9A:C5:C3,Omni Ubiquiti,Reina,,
activo,SINO 48,10.121.17.9,AarohiComm:05:48:FE,Inyector DSLAM,Nautico,,
activo,Dslam  Sino 24,10.32.10.9,"Matrics,In:28:24:36",Inyector DSLAM,Nautico,,
activo,Buenos Aires - Circuito,10.255.5.19,24:A4:3C:EA:12:F6,PTP Ubiquiti 30d,Molinos,,
activo,Fallo Red,10.5.27.8,94:0C:6D:F7:BB:E1,Fallo red,Molinos,,
activo,Switch 1 - B. Aires,10.255.5.20,DC:9F:DB:28:79:36,Sw Ubiquiti 5,Molinos,,
activo,Dslam Sino 8,10.5.27.9,00:B5:26:01:03:BB,Inyector DSLAM,Molinos,,
activo,C15 - Ciky 7124,10.15.13.12,24:A4:3C:EA:13:03,NanoBridge M5 este,Urrutias,,
desconocido,7124 ciky- C15,10.15.13.11,24:A4:3C:EA:13:00,NanoBridge M5 oeste,Urrutias,,
activo,Dslam Ipa-24,10.184.17.9,00:1F:05:02:93:82,Inyector DSLAM,Pedruch,,
activo,2227 - C14,10.14.26.12,DC:9F:DB:8E:FC:24,,Arteco,,
activo,Base 22 6 Omni,10.229.16.10,24:A4:3C:9A:B2:C4,Omni Ubiquiti,Agromed,,
activo,C22 - Grevi,10.22.23.254,24:A4:3C:36:D8:22,PTP Ubiquiti 30d,Villaralto,,
activo,Grevi - C22,10.22.23.253,DC:9F:DB:26:FF:28,PTP Ubiquiti 30d,Villaralto,,
activo,Central - Calvario,169.254.1.40,PipingHotN:30:1C:F5,PTP800,Central ...,,La Palma - Calvario  150  / 100
activo,Entrenaranjos,10.1.99.18,DC:9F:DB:2A:74:85,PTP Ubiquiti 30d,Central ...,,
activo,CostaManga - Nautico,10.255.122.3,24:A4:3C:40:79:A8,PTP Ubiquiti 30d,CostaManga,,
activo,Dslam Ipa 24,10.131.11.9,00:1F:05:02:96:2B,Inyector DSLAM,CostaManga,,
activo,C22 - 625-5 Cismur,10.22.28.13,24:A4:3C:D6:D4:83,NanoBridge M5 este,Villaralto,,
activo,Gregorio - Comyr,10.255.10.83,24:A4:3C:EA:14:8F,PTP Ubiquiti 30d,Albujon,,
activo,Switch Gregorio,10.255.10.84,24:A4:3C:3D:8F:B0,Sw Ubiquiti 5,Albujon,,Gregorio Egea TF: 868.081.296  Movil: 630.540.036
activo,AP-Castillo3-Norte,10.153.15.254,Routerboar:C8:5E:6F,,HotSpot EM,,
activo,AP-Circuito,10.5.20.2,Routerboar:C8:5E:63,,HotSpot EM,,
activo,AP-CostaManga3,10.133.13.11,D4:CA:6D:BD:52:94,,HotSpot EM,,
activo,Hs Jawai 4-Norte,10.183.14.10,D4:CA:6D:AB:99:81,,HotSpot EM,,
activo,AP Jurosa-Torre,10.40.27.10,D4:CA:6D:8D:4A:EA,,HotSpot EM,,
activo,AP Jurosa Esquina,10.40.21.12,D4:CA:6D:8C:4C:94,,HotSpot EM,,
activo,AP-Opalo-Norte,10.131.16.254,D4:CA:6D:8C:4C:A2,,HotSpot EM,,
activo,AP-Opalo-SUR,10.131.15.254,Routerboar:C8:5E:2B,,HotSpot EM,,
activo,AP-Pedruchillo2 Omni,10.184.14.10,D4:CA:6D:AC:77:26,,HotSpot EM,,
activo,AP-Pedruchillo2-Sur,10.184.14.10,D4:CA:6D:AC:77:26,,HotSpot EM,,
activo,Router Snipe1 Zona1,10.151.23.10,4C:5E:0C:7D:E0:CE,,HotSpot EM,,
activo,13441 - SW1  Snipe,10.255.151.11,04:18:D6:07:96:58,Sw Ubiquiti 5,Snipe,,"no hay portero, Presidente Diego Mulero 630530173"
activo,Omni Snipe,10.151.21.10,24:A4:3C:9A:B4:CE,Omni Ubiquiti,Snipe,,
activo,Snipe - Castillo 1,10.255.151.13,DC:9F:DB:6A:B8:DA,PTP Ubiquiti 30d,Snipe,,
activo,Arcosur,185.44.24.14,MicrosoftC:FA:16:06,Servidor DNS,Centrales Virt.,,
activo,Central Empresas,84.236.171.5,MicrosoftC:FE:15:15,Servidor DNS,Centrales Virt.,,Procedimiento de reinicio central:
activo,Central Particulares,84.236.171.6,MicrosoftC:01:73:1A,Servidor DNS,Centrales Virt.,,
activo,Central Troncales,185.44.24.6,MicrosoftC:FE:15:4F,Servidor DNS,Centrales Virt.,,
activo,Base 313.2,10.134.11.10,24:A4:3C:9A:B6:81,Sectorial Ubiquiti,Puerta Medit.,,
activo,Base 313.3,10.134.12.10,24:A4:3C:9A:B5:88,Sectorial Ubiquiti,Puerta Medit.,,
activo,Base 313.1,10.134.15.10,24:A4:3C:9A:C5:23,Omni Ubiquiti,Puerta Medit.,,
activo,Puerta Medite - VillarAlto,10.255.22.91,04:18:D6:A4:55:01,PTP Ubiquiti 5AC,Puerta Medit.,,
activo,P. Medit.- P. blanca,10.255.134.18,24:A4:3C:F2:AB:C8,power bridge,Puerta Medit.,,
activo,Fallo Red Puerta Med. 1,10.134.20.8,00:27:19:CA:83:F5,Fallo red,Puerta Medit.,,
activo,13877 - SW 1 Puerta Medit.,10.134.20.11,DC:9F:DB:28:AB:B7,Sw Ubiquiti 8,Puerta Medit.,,"Portero Mariano 616009508, Presidente     Antonio Lopez 630638651 (inmomar) No es este telefono. Rectificar."
activo,HS Buenavista Hotel,10.78.34.11,D4:CA:6D:A9:46:32,,HotSpot EM,,
activo,HS Buenavista GOLF,10.78.35.11,D4:CA:6D:AB:93:D7,,HotSpot EM,,
activo,Dslam Ipa 24,10.161.15.9,00:1F:05:02:97:1B,Inyector DSLAM,TMares,,
activo,Dslam ipa 24,10.134.16.9,00:1F:05:02:9C:4D,Inyector DSLAM,Puerta Medit.,,
activo,Dslam Sino 48,10.38.20.9,MotorolaBC:02:48:2C,Inyector DSLAM,Pedruch,,
activo,SW 2 Pedruchillo,10.255.182.12,04:18:D6:06:DB:D9,Sw Ubiquiti 8,Pedruch,,
activo,NexPoint,185.44.24.15,MicrosoftC:01:73:0A,Servidor DNS,Centrales Virt.,,
activo,Hs-Puertas Mediterraneo NE,10.134.17.11,D4:CA:6D:AB:93:BF,,HotSpot EM,,
activo,Sancti - Portman,10.2.33.14,04:18:D6:AE:AB:50,PTP Ubiquiti 5AC,Sancty,,
activo,13576 - SW 1  Costa Azul,10.111.20.11,24:A4:3C:3C:FA:A1,Sw Ubiquiti 8,Costazul,,"Antonio 690168096 libra martes 8:00-14:00  16:00-18:00, Inyector IP deslan 24, SAI Salicru 1000v y router check (10.31.10.8)"
activo,Fallo corriente,10.111.20.8,D8:5D:4C:A6:C3:53,Fallo red,Costazul,,
activo,Base 311.1,10.111.11.10,68:72:51:04:CA:7A,Omni Ubiquiti,Costazul,,
activo,Costa Azul - P. Blanca,10.255.212.5,24:A4:3C:9C:42:BB,PTP Ubiquiti 30d,Costazul,,
activo,Fallo red Reina,10.255.141.107,94:0C:6D:F7:B9:D3,Fallo red,Reina,,
activo,Switch Operadores,10.254.254.5,20:4E:7F:90:DA:36,Switch,CPD,,
activo,Fallo corriente Gre. Peter,10.255.6.68,"04:18:D6:AE:C9:9B, 94:0C:6D:E9:99:B5",Fallo red,La Hita,,
activo,VillarAlto - Puerta Mediterráneo,10.255.22.90,04:18:D6:A4:55:64,PTP Ubiquiti 5AC,Villaralto,,
activo,13522 - SW1 C. M. 2 (Securitas),10.152.20.11,24:A4:3C:3D:6F:3D,Sw Ubiquiti 5,Castillos,,Portero Salva 610.263.836
activo,Dslam C2 F-2,10.152.17.9,00:1F:05:02:9C:35,Inyector DSLAM,Castillos,,Dslam IPA 24
activo,Castillo2 - Castillo 1,10.255.151.4,04:18:D6:F2:1C:6E,PTP Ubiquiti 30d,Castillos,,
activo,Castillo2 - Castillo 3,10.255.153.2,44:D9:E7:5A:05:2C,PTP Ubiquiti 30d,Castillos,,
activo,Base 23.27 norte,10.184.13.10,24:A4:3C:9A:C6:C3,Sectorial Ubiquiti,Pedruch,,
activo,Base 23.28 sur,10.184.12.10,24:A4:3C:9A:B3:B5,Sectorial Ubiquiti,Pedruch,,
activo,Pedru2 - Pedru1,10.255.182.11,24:A4:3C:EA:12:D5,PTP Ubiquiti 30d,Pedruch,,
activo,Pedru1 - Pedru2,10.255.182.10,24:A4:3C:EA:18:7C,PTP Ubiquiti 30d,Pedruch,,
activo,Base 23.29,10.184.11.10,24:A4:3C:9A:C6:17,Omni Ubiquiti,Pedruch,,
activo,Dslam 2 F3  Ipa 24,10.153.17.9,00:1F:05:02:96:31,Inyector DSLAM,Castillos,,Ipa 24
activo,13384 - SW 1 Pedruchillo,10.182.10.11,04:18:D6:07:94:ED,Sw Ubiquiti 8,Pedruch,,"Portero Azucar 609204133 (libra los martes)  Maxi 647860259, Administrador  inmomar 607606602"
activo,Base 23 22,10.182.17.10,24:A4:3C:9A:B4:3B,Sectorial Ubiquiti,Pedruch,,
activo,Base 23.21,10.182.16.10,24:A4:3C:A8:76:BE,Omni Ubiquiti,Pedruch,,
activo,Pedruchillo - Arcosur,10.255.7.74,04:18:D6:A4:4A:6C,PTP Ubiquiti 30d,Pedruch,,
activo,Dslam Ipa 48,10.111.14.9,00:1F:05:02:94:4C,Inyector DSLAM,Costazul,,
activo,Costa Azul - Hawai4,10.255.183.6,00:27:22:C4:14:F3,PTP Ubiquiti 30d,Costazul,,Nombre del dispositivo: 311 - 319
activo,Base 311.2 Norte,10.111.12.10,68:72:51:04:CB:E4,ubiquiti 17db,Costazul,,
activo,Base 311.3 Sur,10.111.13.10,68:72:51:04:CA:77,ubiquiti 17db,Costazul,,
activo,Hs-Puertas mediterraneo 1 N (NO REINICIAR),10.134.13.11,D4:CA:6D:AB:93:EB,,HotSpot EM,,
activo,C7 - Reina,10.255.7.3,02:27:22:DA:3C:D2,airFiber,Arcosur,,
activo,Restaurante - Nietos,10.255.77.131,04:18:D6:A4:55:F0,PTP Ubiquiti 5AC,Villas,,
activo,"SW2 Rte,",10.255.78.34,04:18:D6:07:21:D6,Sw Ubiquiti 8,Villas,,"Antonio .  649.095.790  Responsable, encargado., Electricista ...  605.910.505"
activo,Restaurante - Arcosur,10.255.7.46,04:18:D6:A4:54:F6,PTP Ubiquiti 5AC,Villas,,
activo,Base 7.7,10.78.11.10,DC:9F:DB:90:EC:3B,Sectorial Ubiquiti,Villas,,
activo,Base 7.17,10.78.21.10,24:A4:3C:A6:74:28,Sectorial Ubiquiti,Villas,,
activo,Base 7.18,10.78.22.10,DC:9F:DB:8A:D0:B4,NanoStation M5,Villas,,
activo,Base 7.8,10.78.13.10,DC:9F:DB:90:EC:85,Sectorial Ubiquiti,Villas,,
desconocido,Base 7.9,10.78.15.10,24:A4:3C:9E:EF:EF,Omni Ubiquiti,Villas,,
activo,Centro - Arcosur,10.7.31.18,DC:9F:DB:7C:D5:E3,PTP Ubiquiti 30d,Villas,,
activo,Rest. - BuenaVista,10.255.78.10,04:18:D6:2E:D6:D0,PTP Ubiquiti 30d,Villas,,SSID PtP Buenavista: C77abrBV
activo,Base 710.2,10.7.31.10,DC:9F:DB:68:B0:C1,Omni Ubiquiti,Villas,,
activo,Base 7.6,10.7.6.10,BreezeCom:84:85:D8,Sectorial alvarion EZ,Villas,,
activo,11839 - SW 1 Opalo,10.131.20.11,24:A4:3C:3C:92:ED,Sw Ubiquiti 8,CostaManga,,"Portero Maria  601121790, Presidente   Antonio Leon  609165174"
activo,Base 23.12,10.131.14.10,24:A4:3C:9A:C5:98,Omni Ubiquiti,CostaManga,,
activo,AP Reina,10.141.16.11,D4:CA:6D:BF:2B:DA,,HotSpot EM,,
activo,Central - Sancti,169.254.1.20,PipingHotN:30:24:72,PTP800,Central ...,,La Palma - Santi    150  /  100
activo,Sancti - Central,10.255.2.100,PipingHotN:30:20:8D,PTP800,Sancty,,Ptp 800    150  /  100
activo,Oficinas,10.255.7.108,DC:9F:DB:80:E8:95,Sw Ubiquiti 5,Villas,,
activo,Base 7.4,10.7.32.10,DC:9F:DB:02:68:B8,Sectorial Ubiquiti,Villas,,
activo,Base 7.5,10.7.33.10,DC:9F:DB:02:68:11,Sectorial Ubiquiti,Villas,,
activo,Oficinas Camping - Arcosur,10.255.7.106,04:18:D6:A4:4A:68,PTP Ubiquiti 5AC,Villas,,
activo,Radius Manager Principal,84.236.171.11,MicrosoftC:06:73:05,Servidor DNS,HotSpot EM,,
desconocido,Radius Manager Gratuitos,185.44.24.13,MicrosoftC:03:0D:6E,Servidor DNS,HotSpot EM,,
activo,HS-Hawai 4- SUR,10.183.15.10,D4:CA:6D:E3:5D:44,,HotSpot EM,,
activo,DYC Golf - Jurosa,10.40.25.11,24:A4:3C:F6:C3:41,,Jurosa,,
activo,hs-costa azul,10.111.16.254,D4:CA:6D:BD:4F:D0,,HotSpot EM,,
activo,Ribera beach - Los Nietos,10.255.77.142,04:18:D6:AE:C9:98,PTP Ubiquiti 30d,Cristal,,
activo,SW 1 Rib.Beach F4,10.166.20.11,24:A4:3C:3C:91:EA,Sw Ubiquiti 8,Cristal,,"Administrador inmomar (968 14 01 51), codigo de cliente 13523, Portero: Alberto Tef. 636.409.344 - Solo por las mañanas, Acceso a sotano desde escalera 4 mediante codigo 2208#"
activo,Base 16 6,10.166.12.10,24:A4:3C:9A:C5:F7,Sectorial Ubiquiti,Cristal,,
